CollectionNumber,Collection_Code,Experimental_Code,County_Collected,Location_farm,Location_Code,Location,Year,Latitude,Longitude,Host Plant,Date Collected,Stoarage Location,Storage conditions,Locus1 sequenced,Primers Locus 1,Organism,Clade,Manuscript_Species,Label,Query coverage,percent_Pairwise_Identity,Sequence Length,Sub. Accession number,Sub. strain,Pathogenicity
287,OEO_O287,RH-CT-30-1,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,928,AY598711.2,Globisporangium acanthophoron CBS 337.30,
421,OEO_O421,L-CT-25,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporagium acanthophoron CBS 337.29,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.249,666,HQ643413.1,Globisporagium acanthophoron CBS 337.29,
400,OEO_O400,L-CT-2,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.645,851,AY598654.2,Globisporangium acanthophoron CBS 337.30,
409,OEO_O409,L-CT-11,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.046,732,AY598654.2,Globisporangium acanthophoron CBS 337.30,
411,OEO_O411,L-CT-13-2,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.864,733,AY598654.2,Globisporangium acanthophoron CBS 337.30,
416,OEO_O416,L-CT-19,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.865,742,AY598654.2,Globisporangium acanthophoron CBS 337.30,
418,OEO_O418,L-CT-22-1,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,98.776,735,AY598654.2,Globisporangium acanthophoron CBS 337.30,
430,OEO_O430,L-CT-33-1,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.398,833,AY598711.2,Globisporangium acanthophoron CBS 337.30,
319,OEO_O319,LC-CT-38,Lawrence,Looney Cooney Farms,LAWRENCE2_2021,North,2021,34.68,-87.29,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,100,932,AY598711.2,Globisporangium acanthophoron CBS 337.30,
316,OEO_O316,LC-CT-32,Lawrence,Looney Cooney Farms,LAWRENCE2_2021,North,2021,34.68,-87.29,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.882,851,AY598654.2,Globisporangium acanthophoron CBS 337.30,
439,OEO_O439,L-CT2-7-2,Lawrence,Lawrence county field 2,LAWRENCE2_2022,North,2022,34.68,-87.27,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporagium acanthophoron CBS 337.29,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.461,742,HQ643413.1,Globisporagium acanthophoron CBS 337.29,
448,OEO_O448,L-CT2-14,Lawrence,Lawrence county field 2,LAWRENCE2_2022,North,2022,34.68,-87.27,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.163,842,AY598711.2,Globisporangium acanthophoron CBS 337.30,
452,OEO_O452,L-CT2-19,Lawrence,Lawrence county field 2,LAWRENCE2_2022,North,2022,34.68,-87.27,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.398,833,AY598711.2,Globisporangium acanthophoron CBS 337.30,
482,OEO_O482,TV-CT-21-1,Limestone,"Tennessee Valley Research and Education Center, Field 1",TVREC1_2022,North,2022,34.690408,-86.879834,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporagium acanthophoron CBS 337.29,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.462,743,HQ643413.1,Globisporagium acanthophoron CBS 337.29,
474,OEO_O474,TV-CT-12,Limestone,"Tennessee Valley Research and Education Center, Field 1",TVREC1_2022,North,2022,34.690408,-86.879834,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.356,931,AY598711.2,Globisporangium acanthophoron CBS 337.30,
491,OEO_O491,TV-CT-28,Limestone,"Tennessee Valley Research and Education Center, Field 1",TVREC1_2022,North,2022,34.690408,-86.879834,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.249,932,AY598711.2,Globisporangium acanthophoron CBS 337.30,
54,OEO_O54,TV-CT2-2,Limestone,"Tennessee Valley Research and Education Center, Field 2",TVREC2_2021,North,2021,34.693213,-86.88679,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,100,99.88,835,AY598654.2,Globisporangium acanthophoron CBS 337.30,
505,OEO_O505,TV-CT2-16,Limestone,"Tennessee Valley Research and Education Center, Field 2",TVREC2_2022,North,2022,34.686067,-86.889106,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium acanthophoron CBS 337.30,Globisporangium Clade J,Globisporangium acanthophoron,G. acanthophoron,99,99.138,929,AY598711.2,Globisporangium acanthophoron CBS 337.30,
254,OEO_O254,RH-CT-1-1,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,99.89,906,HQ643476.2,Globisporangium attrantheridium DAOM230386,Yes
255,OEO_O255,RH-CT-1-2,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,99.889,899,HQ643476.2,Globisporangium attrantheridium DAOM230386,Yes
279,OEO_O279,RH-CT-17-1,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,100,905,HQ643476.2,Globisporangium attrantheridium DAOM230386,Yes
291,OEO_O291,RH-CT-35,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,99.889,897,HQ643476.2,Globisporangium attrantheridium DAOM230386,Yes
265,OEO_O265,RH-CT-7,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,100,905,HQ643476.2,Globisporangium attrantheridium DAOM230386,
268,OEO_O268,RH-CT-9-1,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,100,906,HQ643476.2,Globisporangium attrantheridium DAOM230386,
272,OEO_O272,RH-CT-13-1,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,99.889,903,HQ643476.2,Globisporangium attrantheridium DAOM230386,
280,OEO_O280,RH-CT-17-2,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,100,898,HQ643476.2,Globisporangium attrantheridium DAOM230386,
292,OEO_O292,RH-CT-39,Lawrence,Rocky Hill Farms,LAWRENCE1_2021,North,2021,34.68,-87.36,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium attrantheridium DAOM230386,Globisporangium Clade F,Globisporangium attrantheridium,G. attrantheridium,100,100,904,HQ643476.2,Globisporangium attrantheridium DAOM230386,
92,OEO_O92,TV-CT2-37,Limestone,"Tennessee Valley Research and Education Center, Field 2",TVREC2_2021,North,2021,34.693213,-86.88679,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium glomeratum ,Globisporangium Clade I,Globisporangium glomeratum,G. glomeratum,100,100,799,KU210442.1,Globisporangium glomeratum ,
422,OEO_O422,L-CT-26,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium heterothallicum 090014,Globisporangium Clade I,Globisporangium heterothallicum,G. heterothallicum,100,99.326,741,DQ091298.1,Globisporangium heterothallicum 090014,Yes
407,OEO_O407,L-CT-9-2,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium heterothallicum 090014,Globisporangium Clade I,Globisporangium heterothallicum,G. heterothallicum,100,100,656,DQ091298.1,Globisporangium heterothallicum 090014,
415,OEO_O415,L-CT-18,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium heterothallicum 090014 CBS122656,Globisporangium Clade I,Globisporangium heterothallicum,G. heterothallicum,99,99.453,735,HQ643551.1,Globisporangium heterothallicum 090014 CBS122656,Yes
424,OEO_O424,L-CT-28,Lawrence,Lawrence county field 1,LAWRENCE1_2022,North,2022,34.67,-87.23,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium heterothallicum 090014 CBS122656,Globisporangium Clade I,Globisporangium heterothallicum,G. heterothallicum,100,99.846,651,HQ643553.1,Globisporangium heterothallicum 090014 CBS122656,
138,OEO_O138,BR-CT-8,Escambia,"Brewton Research and Education Center, Field 1",BREWTON1_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.171,843,HQ643622.1,Globisporangium irregulare BR821,
140,OEO_O140,BR-CT-18,Escambia,"Brewton Research and Education Center, Field 1",BREWTON1_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017 ,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.884,871,MH023386.1,Globisporangium irregulare isolate 11-2017 ,
139,OEO_O139,BR-CT-9,Escambia,"Brewton Research and Education Center, Field 1",BREWTON1_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare strain CBS 250.28,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.759,828,AY598702.2,Globisporangium irregulare strain CBS 250.28,
376,OEO_O376,BR-CT-13,Escambia,"Brewton Research and Education Center, Field 1",BREWTON1_2022,South,2022,31.146485,-87.052063,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.893,935,HQ643622.1,Globisporangium irregulare BR821,
368,OEO_O368,BR-CT-1-1,Escambia,"Brewton Research and Education Center, Field 1",BREWTON1_2022,South,2022,31.146485,-87.052063,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare strain CBS 250.28,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.593,983,AY598702.2,Globisporangium irregulare strain CBS 250.28,Yes
146,OEO_O146,BR-CT2-4-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,100,876,HQ643622.1,Globisporangium irregulare BR821,Yes
150,OEO_O150,BR-CT2-6-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.171,843,HQ643622.1,Globisporangium irregulare BR821,
153,OEO_O153,BR-CT2-8-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.172,844,HQ643622.1,Globisporangium irregulare BR821,
168,OEO_O168,BR-CT2-21,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.158,830,HQ643622.1,Globisporangium irregulare BR821,
172,OEO_O172,BR-CT2-28,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.175,847,HQ643622.1,Globisporangium irregulare BR821,
160,OEO_O160,BR-CT2-13,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR914,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,100,690,HQ643591.1,Globisporangium irregulare BR914,Yes
155,OEO_O155,BR-CT2-8-3,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR918,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.793,969,HQ643590.1,Globisporangium irregulare BR918,
165,OEO_O165,BR-CT2-17-2,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR995,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.315,876,HQ643606.1,Globisporangium irregulare BR995,
148,OEO_O148,BR-CT2-5-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.885,878,MH023386.1,Globisporangium irregulare isolate 11-2017,Yes
157,OEO_O157,BR-CT2-10-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.885,877,MH023386.1,Globisporangium irregulare isolate 11-2017,
158,OEO_O158,BR-CT2-10-2,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.283,840,MH023386.1,Globisporangium irregulare isolate 11-2017,
163,OEO_O163,BR-CT2-15-2,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.891,927,MH023386.1,Globisporangium irregulare isolate 11-2017,
173,OEO_O173,BR-CT2-29,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.884,867,MH023386.1,Globisporangium irregulare isolate 11-2017,
151,OEO_O151,BR-CT2-6-2,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare strain CBS 250.28,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.898,983,AY598702.2,Globisporangium irregulare strain CBS 250.28,
161,OEO_O161,BR-CT2-14-1,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2021,South,2021,31.15,-87.05,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare strain CBS 250.28,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.897,974,AY598702.2,Globisporangium irregulare strain CBS 250.28,
397,OEO_O397,BR-CT2-29,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2022,South,2022,31.145726,-87.051663,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.893,935,HQ643622.1,Globisporangium irregulare BR821,Yes
391,OEO_O391,BR-CT2-5,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2022,South,2022,31.145726,-87.051663,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.787,937,HQ643622.1,Globisporangium irregulare BR821,
392,OEO_O392,BR-CT2-8,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2022,South,2022,31.145726,-87.051663,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR946,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.29,849,HQ643583.1,Globisporangium irregulare BR946,
396,OEO_O396,BR-CT2-28,Escambia,"Brewton Research and Education Center, Field 2",BREWTON2_2022,South,2022,31.145726,-87.051663,COTTON,2022,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare isolate 11-2017,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,99,99.417,870,MH023386.1,Globisporangium irregulare isolate 11-2017,
42,OEO_O42,PB-CT-2,Macon,Plant Breeding Unit of EV Smith Research and education center,EVS1_2021,Central,2021,32.42,-85.89,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare strain CBS 250.28,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.898,979,AY598702.2,Globisporangium irregulare strain CBS 250.28,
129,OEO_O129,FC-CT-21,Macon,"Field Crops Unit, EV Smith Research and education center",EVS2_2021,Central,2021,32.49,-85.89,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,100,958,HQ643622.1,Globisporangium irregulare BR821,
133,OEO_O133,FC-CT-34,Macon,"Field Crops Unit, EV Smith Research and education center",EVS2_2021,Central,2021,32.49,-85.89,COTTON,2021,OEO_OOMYCETE COLLECTION,16ºC,ITS,ITS 6 & 4,Globisporangium irregulare BR821,Globisporangium Clade F,Globisporangium irregulare,G. irregulare,100,99.892,930,HQ643622.1,Globisporangium irregulare BR821,
